,gid,setup,latitude,longitude,pitch,DATE,Date_Localized,TZ,solposAzm,solposZen,trackerAzm,trackerTilt,ghi_sum,ResultPVWm2Front,ResultPVWm2Back,ResultPVGround,edgemean,insidemean,testbedA1mean,testbedA2mean,testbedA3mean,testbedB1mean,testbedB2mean,testbedB3mean,testbedC1mean,testbedC2mean,testbedC3mean,edge_normGHI,inside_normGHI,testbedA1_normGHI,testbedA2_normGHI,testbedA3_normGHI,testbedB1_normGHI,testbedB2_normGHI,testbedB3_normGHI,testbedC1_normGHI,testbedC2_normGHI,testbedC3_normGHI
10,112711,1,42.810001373291016,-124.22000122070312,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.40398218422823,19.526321770382367,270.0,2.62,746.0,740.4166666666666,74.78866666666667,"[122.26460000000002, 121.2066, 126.0919, 129.2357, 137.6612, 144.5484, 156.6927, 166.9304, 188.235, 200.4295, 226.0556, 535.7894, 566.5452, 579.1312, 591.7173, 614.4827, 624.1733, 633.8627, 647.7054, 654.7561, 661.8054, 667.9598, 671.924, 675.8848, 675.6666, 676.8248, 677.9799, 674.642, 674.1635, 673.6808, 666.3173, 663.0023, 659.6821, 650.1683, 643.2438, 636.3136, 617.6953, 605.9375, 594.1742, 563.7634, 550.4878, 225.3365, 211.85890000000003, 183.33990000000003, 170.4093, 154.6177, 143.8546, 135.3501, 128.9566, 124.69170000000001, 121.8983]",154.68048,621.1463258064516,567.42189,673.0531599999999,622.798690909091,,,,,,,0.20734648793565683,0.8326358254778172,0.7606191554959785,0.9022160321715816,0.8348507921033391,,,,,,
11,112715,1,42.650001525878906,-124.22000122070312,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.46261067157673,19.367660308788217,270.0,2.61,1011.0,1010.825888888889,94.37885777777778,"[26.15911, 26.109490000000005, 26.54486, 26.95926, 27.569689999999998, 28.484840000000002, 31.00834, 32.46489, 35.18451, 37.01303, 42.38036, 973.0005, 978.5732000000002, 981.7593, 985.5249, 987.9994, 990.4734, 991.0748, 992.3711, 993.6671, 993.9822, 994.7106, 995.4384, 995.4688, 995.7343, 995.9993, 995.6716, 995.6829000000001, 995.6935, 995.6263, 995.4072, 995.1874000000001, 993.9008, 993.1727999999999, 992.4438, 989.6637, 988.1142999999998, 986.5636, 982.7532, 979.7697, 975.8472, 44.60953, 38.62422, 36.28505, 32.78521, 31.203590000000002, 29.43451, 28.31289, 26.774109999999997, 26.23336, 26.04302]",30.890175499999998,959.4727632258066,891.6824060000001,995.40079,988.4385181818183,,,,,,,0.0305540806132542,0.9490333958712232,0.881980619188922,0.9845705143422354,0.977683994245122,,,,,,
12,112719,1,42.4900016784668,-124.22000122070312,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.5222281434451,19.20902016702894,270.0,2.61,545.0,539.8794888888889,56.884253333333334,"[138.3339, 137.5927, 138.6958, 142.2173, 149.9156, 157.4016, 169.7054, 180.0606, 197.46539999999996, 210.4511, 232.9005, 332.3095, 360.24309999999997, 372.7784, 385.3141, 407.1882, 419.6079, 432.0273, 440.5755, 448.10830000000004, 455.6396, 459.5687, 463.9547, 468.338, 469.56209999999993, 471.1009000000001, 472.6362, 469.89349999999996, 468.9968999999999, 468.0972, 461.1739, 456.76489999999995, 452.35110000000003, 439.59919999999994, 432.175, 424.7463, 406.2467, 394.8717, 383.491, 357.9268, 345.019, 244.3038, 210.3551, 197.24519999999998, 179.98300000000003, 170.4626, 154.1507, 145.2204, 140.4751, 137.0712, 135.703]",166.84047500000003,421.0711677419354,383.10527999999994,466.77878,414.0332363636364,,,,,,,0.30612931192660553,0.7726076472329091,0.7029454678899082,0.8564748256880733,0.759694011676397,,,,,,
13,112723,1,42.33000183105469,-124.22000122070312,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.5828591416047,19.05040211999922,270.0,2.61,442.0,438.4767,46.68835111111111,"[125.262, 125.1542, 125.4491, 128.3531, 135.7814, 140.4489, 153.7229, 162.5417, 178.81319999999997, 189.2916, 208.62209999999996, 254.4543, 262.4796, 294.7726, 304.419, 314.0658, 327.9766, 336.9185, 345.8602, 354.80199999999996, 360.3548, 365.4743, 370.5927, 370.1508999999999, 372.56380000000007, 374.9743, 374.2312, 374.0626, 373.892, 368.40809999999993, 365.5384000000001, 362.6646, 355.872, 350.66979999999995, 345.4637, 330.596, 321.3433, 312.0857, 291.9651, 281.289, 270.6088, 244.0023, 195.9058, 173.4417, 162.4323, 150.2436, 140.586, 132.068, 126.9781, 123.7796, 121.01209999999999]",151.76337999999998,332.1668322580645,300.43707,370.47047,326.1905818181818,,,,,,,0.34335606334841623,0.7515086702671143,0.6797218778280543,0.8381684841628959,0.7379877416700945,,,,,,
14,112727,1,42.16999816894531,-124.22000122070312,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.64453050584248,18.89180274352097,270.0,2.61,264.0,261.0251888888889,28.690862222222222,"[94.82533, 94.45229, 94.89650999999999, 96.55534, 100.78429999999999, 103.6102, 109.9937, 114.8195, 121.8636, 128.0503, 135.6522, 154.6314, 160.3654, 168.4009, 174.91739999999996, 181.43549999999996, 187.3805, 191.6462, 195.9132, 201.9609, 205.3817, 208.8038, 207.4451, 209.0168, 210.5892, 212.10620000000003, 212.68680000000003, 213.26740000000004, 208.7992, 207.8899, 206.97979999999998, 202.182, 199.4316, 196.6801, 188.5284, 184.5488, 180.56769999999997, 176.58669999999998, 164.2937, 159.0897, 153.8843, 130.2743, 123.7969, 130.5652, 123.3069, 105.9206, 100.9601, 97.3713, 94.45279, 93.0423, 93.24343]",107.63924449999999,189.0665322580645,175.23036,209.59861,182.97934545454544,,,,,,,0.40772441098484846,0.7161611070381232,0.6637513636363636,0.7939341287878788,0.6931035812672176,,,,,,
15,112731,1,42.0099983215332,-124.22000122070312,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.70726550190759,18.733230222990315,270.0,2.6,245.0,242.32256666666666,26.704744444444444,"[87.42559999999999, 87.38681000000001, 88.78369000000002, 90.44733000000001, 95.8472, 98.58043000000002, 101.31440000000002, 104.0484, 113.7002, 118.8768, 127.0509, 142.6601, 146.9041, 155.6707, 160.5489, 165.4285, 172.4976, 177.0132, 181.5305, 183.9299, 187.316, 190.7033, 192.0693, 193.9167, 195.7648, 195.0748, 195.31229999999996, 195.54959999999997, 193.5938, 192.4555, 191.3169, 187.1215, 184.3955, 181.66829999999996, 174.3423, 170.5379, 166.7326, 157.5909, 152.072, 146.5518, 138.5473, 122.1026, 117.0235, 108.79540000000001, 104.4941, 99.052, 106.6212, 102.29609999999998, 88.42885, 85.92802, 87.09697999999999]",100.4124805,174.06024193548393,161.32344,193.17561,168.26154545454546,,,,,,,0.4098468591836735,0.7104499670836079,0.6584630204081633,0.7884718775510204,0.6867818181818182,,,,,,
16,114693,1,44.56999969482422,-124.05999755859375,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.22081828969405,21.286806213967594,270.0,2.8,744.0,739.5213777777777,74.08775,"[118.15910000000001, 117.3456, 116.2928, 118.5546, 129.5604, 135.9199, 147.2617, 156.8019, 173.713, 183.9179, 209.93680000000003, 544.3349, 571.725, 584.5801, 605.1805, 616.9535, 628.7255, 643.4246, 652.3784, 661.3298, 664.8441, 669.341, 673.8351, 678.3291, 677.3445, 678.8924, 680.4359, 679.9895, 679.2253, 678.4568, 673.092, 669.6924, 666.2889, 654.5999, 647.9358, 641.2667, 624.1858, 615.1282, 606.0651, 576.9732, 562.9969, 211.2413, 199.35350000000003, 172.8454, 161.135, 144.4167, 135.0865, 126.0156, 119.6924, 118.5211, 116.06919999999998]",145.09518,626.3705709677419,571.8569099999999,676.0693699999999,630.7477181818182,,,,,,,0.19502040322580644,0.8418959287200831,0.7686248790322578,0.9086953897849461,0.8477791911045943,,,,,,
17,114697,1,44.40999984741211,-124.05999755859375,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.27283556809905,21.12807824258266,270.0,2.8,986.0,986.2110666666665,91.52976777777778,"[27.443159999999995, 27.22346, 28.036549999999995, 28.50068, 29.3516, 30.21158, 32.82356, 34.55681, 37.89209, 39.95047, 44.705189999999995, 945.5769, 951.8444, 954.8694, 958.5481999999998, 960.861, 963.174, 964.9235, 966.3197999999999, 967.7156, 968.6669, 969.4607, 970.2536999999999, 970.1754, 970.4996, 970.8232000000002, 970.3867999999999, 970.3265, 970.2653, 969.6019, 969.2023, 968.8023, 968.0259, 967.3579999999998, 966.6892000000001, 964.0039, 962.3759, 960.7472000000001, 956.5721, 953.3278999999999, 948.0768000000002, 47.27464, 44.82229, 38.10606, 35.77783, 32.6141, 30.76558, 29.49543, 28.51922, 28.204979999999995, 27.85673]",32.971341,934.3283706451613,867.8537990000001,970.046,962.2892272727273,,,,,,,0.03343949391480731,0.9475946963946869,0.8801762667342801,0.9838194726166329,0.9759525631569242,,,,,,
18,114701,1,44.25,-124.05999755859375,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.32566053112976,20.96936883483599,270.0,2.8,522.0,516.6308999999999,54.466321111111114,"[132.6531, 132.1203, 137.2774, 139.7899, 147.9624, 154.1495, 168.2446, 177.41739999999996, 193.3683, 204.8134, 228.6852, 312.8943, 322.4053, 354.9205, 366.9159, 378.9113, 395.4894, 405.3214, 415.1532, 424.9016, 431.4966, 438.09010000000006, 440.2959, 443.3751, 446.452, 447.0128, 447.4908, 447.9648, 442.70250000000004, 441.1506, 439.5953, 431.20509999999996, 426.30660000000006, 421.4035999999999, 409.367, 400.7531000000001, 392.1339, 371.47329999999994, 359.7361, 347.9934, 319.9539, 234.01059999999998, 222.7612, 190.81319999999997, 178.5789, 162.0003, 151.3802, 144.5899, 138.9387, 137.4855, 135.3402]",164.18475,398.4371161290323,360.5598100000001,442.60312000000005,392.7201181818182,,,,,,,0.3145301724137931,0.7632894945000619,0.6907276053639848,0.8478986973180077,0.7523373911529084,,,,,,
19,114705,1,44.09000015258789,-124.05999755859375,5,2021-06-23__12_30_00-08_00,2021-06-23__12_30_00,-8,187.37931153189896,20.810678313628813,270.0,2.79,990.0,989.5355777777776,92.2583688888889,"[27.334639999999997, 27.24455, 27.471150000000005, 27.774690000000003, 29.4147, 30.32024, 32.53679, 34.19335, 37.37423, 39.46488, 45.11026999999999, 950.5272, 955.873, 959.4195999999998, 962.4495000000001, 964.6974999999999, 966.9449, 968.6069000000001, 970.0144, 971.4221000000001, 972.1169, 972.9216, 973.726, 973.6785, 974.0798, 974.4805, 974.8813, 975.282, 974.1917, 974.0077, 973.8228, 972.9869, 972.3876, 971.7874, 968.764, 967.6356, 966.5063, 963.4608, 961.0071000000002, 958.5526, 952.9995, 47.41720999999999, 40.78453, 38.39166, 34.60823, 32.63503, 31.32668, 29.94535, 28.02323, 27.4337, 27.72026]",32.570755,938.2045796774194,871.506537,973.9366,966.3555090909092,,,,,,,0.032899752525252526,0.9476813936135549,0.8803096333333333,0.9837743434343434,0.9761166758494032,,,,,,
