,period,xgap,hubheight,rtr,ground,front,rear
20,7TO7,1.0,1.5,10.0,"[0.5145087  0.51915234 0.56257529 0.58651975 0.61698266 0.63987837
 0.682873   0.73056751 0.7415791  0.77262554 0.77239066 0.78068857
 0.7707262  0.77455228 0.7978563  0.82612768 0.83238219 0.85647096
 0.86496489 0.87377731 0.88577379 0.88597038 0.89973471 0.90514385
 0.90671856 0.90612529 0.9087403  0.91166643 0.91383707 0.90923303
 0.91602465 0.9102809  0.91148372 0.91688017 0.91868019 0.91961723
 0.9275328  0.9280198  0.93162084 0.92787728 0.92813747 0.93306342
 0.93083874 0.93562068 0.9351887  0.93901893 0.94530355 0.94721708
 0.93852983 0.9409115  0.94013702 0.94005749 0.93730236 0.94054508
 0.93959059 0.93863393 0.92868768 0.9284455  0.9271021  0.92577061
 0.92543884 0.92546989 0.92412863 0.9135672  0.90500166 0.90434413
 0.89507226 0.8932837  0.8920723  0.87696352 0.87587697 0.86905077
 0.86631595 0.85635272 0.85273603 0.85038055 0.82894938 0.82115446
 0.80518396 0.79330568 0.76243423 0.76038569 0.75701564 0.74455302
 0.7364655  0.70889017 0.68884268 0.67428561 0.66480721 0.63659235
 0.63508333 0.62854754 0.61815147 0.6025469  0.57807273 0.54491673
 0.52083577 0.50907588 0.50891534 0.52783398 0.52657407]","[1.28359581 1.2840729  1.28454703 1.2726519  1.27145105 1.27737716
 1.27482609 1.27967121 1.27926538]","[0.1641368  0.16088594 0.15831301 0.15693699 0.15689898 0.15701398
 0.15848723 0.16025488 0.16244923]"
21,8TO8,1.0,1.5,10.0,"[0.71906261 0.72428784 0.73278747 0.7504867  0.78508596 0.78575669
 0.78715586 0.802369   0.82430992 0.83331511 0.84105972 0.84779699
 0.86219959 0.88061027 0.88036191 0.88559839 0.87721005 0.88365638
 0.88888855 0.89199487 0.89645365 0.90445988 0.90994481 0.91722945
 0.91972623 0.9168942  0.92428986 0.92902841 0.93042836 0.93454046
 0.93585711 0.94426536 0.94405187 0.94765503 0.93984594 0.94118826
 0.9420113  0.94102342 0.94355869 0.94628976 0.94608552 0.94266917
 0.94606743 0.93961948 0.93992605 0.93937485 0.94625477 0.94981583
 0.94131874 0.94110015 0.94216372 0.94226952 0.93562669 0.93506026
 0.93433055 0.93784953 0.93491291 0.94266774 0.94394842 0.94233932
 0.9292805  0.9292702  0.92849644 0.92845482 0.92695644 0.92687061
 0.9262548  0.91638908 0.91248503 0.91150566 0.91055251 0.90456451
 0.89921203 0.88918379 0.88223912 0.88587669 0.88547079 0.88537917
 0.88295303 0.88058066 0.87513772 0.87682253 0.86756882 0.86377748
 0.85786029 0.85422968 0.83960729 0.8397641  0.82913815 0.81102158
 0.80909502 0.8050961  0.7881469  0.78270696 0.77726761 0.76027198
 0.7559271  0.7472017  0.72797671 0.71462992 0.70503539]","[1.28370619 1.28424506 1.28479039 1.2844892  1.29235777 1.29073295
 1.2898336  1.27953024 1.27891769]","[0.16639191 0.1633359  0.16087069 0.15915908 0.15846084 0.15822584
 0.15952193 0.16077184 0.16375205]"
22,9TO9,1.0,1.5,10.0,"[0.84376597 0.84745454 0.85380137 0.84881387 0.83614053 0.84563168
 0.85704183 0.86647789 0.86708936 0.86219771 0.87002894 0.87248813
 0.87199369 0.87676397 0.87344133 0.87482017 0.88504736 0.88875004
 0.89587354 0.89908898 0.89727283 0.90139321 0.90804201 0.90852526
 0.91255705 0.91294511 0.91705399 0.91786786 0.91280623 0.90744674
 0.90844356 0.90849104 0.90707676 0.91916774 0.91946159 0.91889453
 0.92943031 0.9284504  0.92931506 0.92662017 0.9278268  0.93831329
 0.93691725 0.93863851 0.9402725  0.94139599 0.93895246 0.93978005
 0.94085123 0.94201769 0.93297168 0.93372388 0.92997408 0.93045164
 0.92583875 0.92595346 0.92556904 0.92393425 0.92400789 0.92424948
 0.91665709 0.92306582 0.9236672  0.91979897 0.92332669 0.92271664
 0.92260371 0.9228117  0.91137351 0.91313447 0.91084403 0.91320069
 0.91917673 0.91858994 0.91181065 0.90133917 0.89311111 0.88861794
 0.88568472 0.879123   0.87738076 0.8770108  0.86970957 0.86925795
 0.87028415 0.86857825 0.86967913 0.8623752  0.8643292  0.87262498
 0.86989852 0.86805016 0.86477487 0.84886093 0.84944764 0.84834839
 0.83312554 0.84863348 0.8609986  0.8406334  0.83741176]","[1.31456031 1.31565414 1.31746467 1.31327278 1.305813   1.30579127
 1.30560628 1.30648156 1.30827818]","[0.16531163 0.16257649 0.16071446 0.15893232 0.15868865 0.15853949
 0.1607125  0.16213546 0.16529926]"
23,5TO9,1.0,1.5,10.0,"[0.63178011 0.63752173 0.65449391 0.67277009 0.68587861 0.70523396
 0.73719518 0.74600345 0.76757709 0.77761788 0.78943646 0.80191244
 0.80747806 0.81073424 0.81980932 0.82933379 0.8328496  0.84092278
 0.85736653 0.86452479 0.87461187 0.88407957 0.88874294 0.8894642
 0.90201674 0.90309533 0.91274433 0.91265895 0.91406821 0.91434296
 0.91837061 0.92332466 0.92429706 0.92558936 0.92708498 0.92866292
 0.93014027 0.93041921 0.92907119 0.92904088 0.92959024 0.92908052
 0.92981026 0.9420941  0.94017421 0.94112974 0.93820559 0.93704856
 0.93794861 0.93905861 0.93775304 0.94321504 0.93178552 0.93075657
 0.92978182 0.92964346 0.928452   0.92745599 0.92604646 0.92505808
 0.92081983 0.91978247 0.92109421 0.91424892 0.91348068 0.91153231
 0.91105819 0.90581564 0.90251997 0.90076399 0.9005489  0.89439873
 0.89051847 0.88441283 0.87694845 0.87038369 0.86113638 0.85020991
 0.84562583 0.83043852 0.82558777 0.81643497 0.81751305 0.80216451
 0.79534597 0.77778503 0.76858804 0.75480775 0.74972727 0.74097692
 0.73306389 0.7287064  0.72838936 0.72006424 0.70116858 0.67268258
 0.66357353 0.65194133 0.63129287 0.63560889 0.63671448]","[1.27293395 1.27348712 1.27410506 1.2756166  1.27949719 1.27879264
 1.29179553 1.29194305 1.29082165]","[0.16633352 0.16329664 0.16006669 0.15847533 0.15813498 0.15800965
 0.15950423 0.16098954 0.16365291]"
24,5TO5,0.0,2.4,5.0,[],[],[]
25,6TO6,0.0,2.4,5.0,[],[],[]
26,7TO7,0.0,2.4,5.0,[],[],[]
27,8TO8,0.0,2.4,5.0,[],[],[]
28,9TO9,0.0,2.4,5.0,[],[],[]
29,5TO9,0.0,2.4,5.0,[],[],[]
30,5TO5,1.0,2.4,5.0,[],[],[]
31,6TO6,1.0,2.4,5.0,[],[],[]
32,7TO7,1.0,2.4,5.0,[],[],[]
33,8TO8,1.0,2.4,5.0,[],[],[]
34,9TO9,1.0,2.4,5.0,[],[],[]
35,5TO9,1.0,2.4,5.0,[],[],[]
36,5TO5,0.0,2.4,10.0,"[0.20605069 0.20721378 0.2058916  0.20934227 0.23313156 0.24408602
 0.26586429 0.27975501 0.29783225 0.32187004 0.35458814 0.38978649
 0.42193327 0.44693717 0.47299209 0.50059024 0.52181111 0.5412411
 0.54704201 0.55754772 0.56614355 0.572847   0.57846005 0.59062457
 0.61371603 0.62126595 0.63700048 0.64637131 0.66369929 0.67983662
 0.70178106 0.71794126 0.73031604 0.74617042 0.74929561 0.75883117
 0.7742199  0.77788208 0.78079758 0.79814056 0.80678677 0.81824659
 0.82393679 0.8337399  0.84092218 0.84673073 0.84998123 0.85174906
 0.85813531 0.86174383 0.86494678 0.87172213 0.87722667 0.8795466
 0.87242165 0.86931887 0.87161851 0.87803949 0.87951806 0.88133037
 0.88361847 0.89304006 0.9011044  0.9070453  0.91046382 0.912019
 0.91143783 0.91242425 0.9011846  0.89966396 0.90180993 0.9074152
 0.90776374 0.90889537 0.90993493 0.91683738 0.92015574 0.92052076
 0.92080533 0.92117426 0.92449601 0.92713442 0.92683723 0.93040134
 0.93033793 0.92997993 0.93094354 0.93122571 0.9265122  0.9242658
 0.92452663 0.92630976 0.92652357 0.92538565 0.92513139 0.92419925
 0.92593437 0.92811132 0.9299268  0.93043907 0.93384222]","[1.2822648  1.2831239  1.28297251 1.28523077 1.2848148  1.28475355
 1.27299012 1.28140576 1.2773214 ]","[0.12056771 0.11176732 0.10511084 0.10167661 0.10003137 0.10101303
 0.10404622 0.11007844 0.11830426]"
37,6TO6,0.0,2.4,10.0,"[0.20115643 0.20371098 0.20987831 0.22657651 0.240766   0.25663152
 0.26797298 0.28481505 0.3137242  0.33472462 0.34974723 0.36790514
 0.39370275 0.42125535 0.45772827 0.4942491  0.52220349 0.54452117
 0.56133911 0.56886649 0.56764323 0.57285007 0.5788364  0.58484091
 0.60567165 0.62036707 0.64678825 0.66449639 0.67538654 0.6892512
 0.71055394 0.72909282 0.7527362  0.77631275 0.78620124 0.7920969
 0.79475564 0.77602466 0.78523478 0.78063355 0.78200858 0.79809001
 0.80097703 0.80434701 0.81383542 0.82565102 0.82822961 0.84653668
 0.85575325 0.85863308 0.85976348 0.86543866 0.87250348 0.86991909
 0.87164024 0.86815435 0.87143911 0.86753655 0.86921897 0.87096416
 0.87340678 0.87826534 0.8835587  0.88336335 0.88508635 0.88659983
 0.88811801 0.89422914 0.89918422 0.90201852 0.89571649 0.90650274
 0.90544502 0.90692792 0.90772984 0.91141933 0.91346241 0.91597505
 0.91645738 0.91800712 0.91372362 0.91416599 0.91683858 0.9158072
 0.91957858 0.91805484 0.91690362 0.91562325 0.91670273 0.91824193
 0.91998113 0.91907399 0.91774017 0.91759527 0.92381932 0.9250471
 0.92584773 0.93181237 0.92701318 0.92597301 0.92449196]","[1.24269177 1.24457759 1.2320243  1.23611837 1.25852273 1.25891144
 1.24345836 1.24318806 1.26965149]","[0.12183886 0.11238062 0.10622445 0.10251283 0.10040322 0.10154667
 0.10468377 0.11065074 0.11831796]"
38,7TO7,0.0,2.4,10.0,"[0.19342033 0.2032136  0.20892627 0.22627519 0.23994724 0.25993112
 0.27886422 0.30401257 0.33369844 0.3607185  0.38394052 0.38199932
 0.42801251 0.46951318 0.51397554 0.54271646 0.57560166 0.60354109
 0.60047646 0.60989207 0.61390253 0.62009839 0.62713613 0.63608949
 0.66129654 0.68034771 0.69096052 0.71579788 0.72871584 0.73773084
 0.74522826 0.7563672  0.76366721 0.77589621 0.7863569  0.79066933
 0.79488922 0.80633552 0.81063423 0.81968726 0.82474639 0.83524216
 0.84002752 0.85102652 0.85947568 0.86317126 0.86947927 0.87344774
 0.87483625 0.87415985 0.87523872 0.87756818 0.88550116 0.89178132
 0.88867592 0.89836182 0.8971371  0.89915057 0.90168642 0.89894938
 0.90009341 0.89317281 0.8876158  0.88916886 0.89182862 0.8933703
 0.8970547  0.89919268 0.89995729 0.90427276 0.90505422 0.90404253
 0.9130255  0.91738635 0.91818378 0.91682725 0.91447539 0.91341751
 0.91529989 0.91260453 0.91137554 0.91147724 0.9190135  0.91825978
 0.91874644 0.9211703  0.92364661 0.92379803 0.92395633 0.92411474
 0.94433827 0.94441922 0.93480551 0.93410881 0.93619822 0.93606113
 0.93574978 0.93395623 0.93370318 0.932001   0.93550903]","[1.24903103 1.25032706 1.2661878  1.27510773 1.25688793 1.25839522
 1.26509122 1.250407   1.24762603]","[0.11966626 0.1095314  0.10290102 0.09915015 0.0985233  0.09975341
 0.10327801 0.10966416 0.11774088]"
39,8TO8,0.0,2.4,10.0,"[0.20400208 0.21043605 0.21632765 0.22054947 0.23822328 0.25258241
 0.28150838 0.30329781 0.31195366 0.33179528 0.35972479 0.38751645
 0.42634327 0.45980054 0.48251479 0.51214424 0.54567504 0.55574987
 0.56769944 0.58735719 0.61295296 0.62936984 0.64514175 0.6607987
 0.67254654 0.68258936 0.68821465 0.69689346 0.68722278 0.70125071
 0.70907348 0.72269141 0.73302562 0.74885502 0.7657511  0.77775838
 0.8114944  0.81878808 0.82673698 0.83218483 0.83553373 0.83878591
 0.83771729 0.84223054 0.84841303 0.84843481 0.85159682 0.85441584
 0.8574695  0.86135581 0.86729076 0.87479298 0.87765222 0.88240493
 0.89127041 0.89591006 0.89884838 0.90415981 0.90620104 0.90511537
 0.90516873 0.90585945 0.9082709  0.90988553 0.91075333 0.90544713
 0.89477187 0.89538536 0.89817234 0.89960101 0.90028596 0.90450389
 0.90855437 0.90944233 0.91034681 0.91352764 0.9296376  0.9301502
 0.93570833 0.92790106 0.92849307 0.92680245 0.9273693  0.9322834
 0.93276227 0.9347142  0.9380401  0.93591468 0.9361096  0.93840608
 0.93859191 0.93877515 0.94153358 0.92897657 0.93065833 0.93060858
 0.93051761 0.93093793 0.93389728 0.93367282 0.93205822]","[1.27669168 1.27801939 1.28146197 1.27873132 1.27704525 1.2810045
 1.27622142 1.28544279 1.2813435 ]","[0.12032121 0.1103953  0.10428794 0.10016435 0.09857588 0.09996399
 0.10324768 0.10897104 0.11739718]"
40,9TO9,0.0,2.4,10.0,"[0.2177907  0.21970303 0.22443948 0.2299591  0.23419753 0.24754589
 0.26276371 0.27733781 0.31691607 0.35039563 0.36562391 0.39461419
 0.42155483 0.43661437 0.46079813 0.47101691 0.48027871 0.50669513
 0.51998027 0.53640833 0.54857216 0.5576921  0.57787751 0.58894625
 0.5963756  0.59129367 0.62800974 0.64765591 0.65914237 0.67538047
 0.69328727 0.70166199 0.70568627 0.72608289 0.74559755 0.75026669
 0.77288705 0.77938832 0.78621492 0.79204755 0.79595535 0.80212253
 0.80576827 0.80759185 0.81153583 0.80877651 0.81364236 0.81602424
 0.82486872 0.83010959 0.82923815 0.8349604  0.83871702 0.84760415
 0.85385256 0.85885976 0.86419725 0.86667593 0.8694033  0.8746594
 0.87463556 0.8763426  0.86871105 0.87724927 0.87737167 0.87743136
 0.87845503 0.879386   0.88067073 0.88073067 0.87903212 0.8844456
 0.8883252  0.88890275 0.88718272 0.88791658 0.88683782 0.89713302
 0.89808105 0.90192915 0.90283486 0.90975101 0.91060073 0.90632844
 0.90415341 0.91092119 0.91381501 0.90852472 0.90946818 0.90635848
 0.90792849 0.91199202 0.91221388 0.91538824 0.91552471 0.9164878
 0.91660522 0.92034261 0.92207786 0.91873163 0.91542422]","[1.31804989 1.32108868 1.3123505  1.30210392 1.30363647 1.30612476
 1.29010579 1.2914188  1.30260903]","[0.12064714 0.11161842 0.10477418 0.10136802 0.10026942 0.10108124
 0.1047199  0.11075573 0.11905725]"
41,5TO9,0.0,2.4,10.0,"[0.20281715 0.2075673  0.21756579 0.22803497 0.23784256 0.24950861
 0.27060378 0.2897871  0.30602045 0.33507522 0.35823704 0.39022674
 0.421679   0.44778075 0.47877716 0.51162863 0.5317216  0.55745779
 0.56720528 0.57650907 0.58268231 0.59471005 0.60475976 0.61129263
 0.61946853 0.63945422 0.65418556 0.67316275 0.69662893 0.71526154
 0.7268367  0.73748487 0.74499594 0.759751   0.76862311 0.77585601
 0.78080433 0.78985556 0.79613947 0.802014   0.81256982 0.82160124
 0.83404649 0.83862759 0.84618223 0.85022263 0.85248074 0.85148098
 0.85507728 0.85733467 0.85847166 0.86692625 0.8677883  0.8691651
 0.87312921 0.87433134 0.87762983 0.88579752 0.88855521 0.89041707
 0.89204842 0.89455611 0.88987257 0.90214611 0.90272575 0.90760064
 0.90768485 0.9104689  0.91127726 0.91003156 0.91025824 0.90930255
 0.91037285 0.91111846 0.91197837 0.91604438 0.91326235 0.91376756
 0.91660179 0.9195696  0.91941291 0.91765049 0.9249939  0.92496273
 0.92693789 0.92748368 0.92568132 0.93058495 0.92983204 0.93071875
 0.92232558 0.9230314  0.92136265 0.92001597 0.91576497 0.91590998
 0.91598433 0.91536132 0.91616308 0.91649592 0.91700283]","[1.27595338 1.27802683 1.27607202 1.26784419 1.27812297 1.27795753
 1.28450972 1.28903864 1.28142508]","[0.12066657 0.11111294 0.10466436 0.10060057 0.099543   0.10035779
 0.10375214 0.10987945 0.11758988]"
42,5TO5,1.0,2.4,10.0,"[0.61322304 0.61750582 0.63188585 0.63261064 0.63680595 0.64039889
 0.65676991 0.6659114  0.68242665 0.70012038 0.71954861 0.734182
 0.7459203  0.76794271 0.78603224 0.80131282 0.80924848 0.81524383
 0.8110889  0.81468696 0.81907544 0.82448231 0.82385946 0.82345161
 0.83118182 0.83347635 0.8352587  0.83046439 0.83269294 0.83570847
 0.84054669 0.84917221 0.85642718 0.86390806 0.86854714 0.86721449
 0.86935723 0.87722633 0.88476628 0.88887686 0.89649416 0.90237871
 0.90753013 0.91400131 0.9155504  0.91978856 0.91579676 0.91456908
 0.91817595 0.92411822 0.91287738 0.91389323 0.91447858 0.91730211
 0.91906823 0.91923065 0.92001346 0.92294979 0.9242531  0.92702557
 0.9283373  0.93361383 0.93489894 0.93582068 0.93715516 0.94065476
 0.9409891  0.94138973 0.94195048 0.94985214 0.95080124 0.94916073
 0.95034264 0.95309405 0.94983807 0.95028178 0.95062039 0.95537872
 0.9554508  0.95598615 0.95807235 0.96035352 0.96171226 0.96221785
 0.96267433 0.96181019 0.97079756 0.97082608 0.96923656 0.96935053
 0.96927486 0.96938347 0.96589899 0.96529809 0.96524442 0.96490592
 0.96399312 0.96385245 0.96810475 0.96591073 0.96589478]","[1.28974532 1.29024297 1.29243258 1.29454174 1.29545948 1.29336022
 1.28283222 1.28325014 1.2844686 ]","[0.16221205 0.15704259 0.15401269 0.15164159 0.15074264 0.15137732
 0.15316845 0.15627125 0.16075306]"
43,6TO6,1.0,2.4,10.0,"[0.5272214  0.53429688 0.53244442 0.55728042 0.58328614 0.57800727
 0.58487137 0.62644659 0.64654042 0.66239635 0.68047327 0.68852395
 0.70108998 0.72308555 0.74473634 0.75403908 0.75841154 0.76491298
 0.77100625 0.7772054  0.78552302 0.79145429 0.7918678  0.79417719
 0.80227438 0.80644324 0.80785609 0.80863747 0.8128614  0.81405455
 0.81426101 0.82277532 0.82584131 0.82823073 0.82972022 0.83407655
 0.83566038 0.83750314 0.83820329 0.84848285 0.85501549 0.85728545
 0.86223222 0.86898952 0.87374968 0.86982745 0.87171769 0.87180655
 0.87311795 0.88070012 0.88449766 0.88521675 0.87828404 0.88987068
 0.8916071  0.89264984 0.89328664 0.90338647 0.90760893 0.90902535
 0.90425681 0.90275062 0.90041007 0.90732793 0.91081469 0.91169818
 0.92616575 0.92642115 0.92976553 0.92513296 0.9280252  0.92847918
 0.92993671 0.93072488 0.93150715 0.93246786 0.93304228 0.93651057
 0.93409253 0.93201774 0.93209972 0.93281032 0.93275208 0.93183444
 0.93771285 0.93844122 0.93930597 0.9394137  0.9395192  0.94169984
 0.94157308 0.93723962 0.9346151  0.94228474 0.94360199 0.94036396
 0.93945782 0.94324861 0.94296061 0.94542931 0.94513012]","[1.24310542 1.24314341 1.25182775 1.26121342 1.24987911 1.23837944
 1.24895733 1.24878159 1.25470912]","[0.16055775 0.15475649 0.15120396 0.14857962 0.14831074 0.14846394
 0.15045461 0.15406447 0.15797   ]"
44,7TO7,1.0,2.4,10.0,"[0.55135836 0.5501961  0.54744677 0.54883008 0.56647378 0.57613268
 0.59738563 0.60304117 0.6561051  0.6882772  0.70766849 0.71705914
 0.72382417 0.74923025 0.78273666 0.79451524 0.80288753 0.82182038
 0.82044661 0.83127577 0.83680788 0.83571621 0.83928004 0.84235198
 0.84456176 0.84293581 0.84511276 0.85137091 0.85059106 0.86125355
 0.85928398 0.86360019 0.86719605 0.87176917 0.87027008 0.87342491
 0.88019948 0.88065658 0.89381621 0.89658856 0.8982566  0.89992093
 0.90840337 0.91314947 0.91305324 0.91694496 0.92426954 0.91920942
 0.91417048 0.91476764 0.91535497 0.9186037  0.92627996 0.92660486
 0.92896601 0.92893208 0.93296491 0.93540784 0.93601445 0.93863135
 0.94124016 0.94302362 0.94311107 0.94320704 0.94383342 0.94873537
 0.94931574 0.95054552 0.95731365 0.96009426 0.95766988 0.95940646
 0.95768601 0.96211345 0.96266112 0.96322987 0.96365035 0.95237521
 0.94957187 0.95204235 0.95236908 0.95269407 0.95603409 0.9560618
 0.95981738 0.95999925 0.95997709 0.95948188 0.9585942  0.9586833
 0.9586279  0.9483848  0.94379294 0.94393698 0.94407725 0.94421761
 0.94163356 0.9455912  0.94885568 0.95144446 0.95142453]","[1.27631138 1.27698928 1.27649334 1.28476438 1.28811674 1.2904019
 1.29662044 1.2989734  1.27523052]","[0.16073614 0.15427635 0.15081559 0.1485883  0.1480996  0.14848951
 0.15071652 0.15361887 0.15709601]"
45,8TO8,1.0,2.4,10.0,"[0.72478563 0.72422855 0.74038843 0.72993018 0.73973567 0.7445992
 0.76194541 0.76908339 0.76966168 0.78984285 0.80368849 0.80330307
 0.80475866 0.81040952 0.82330949 0.82744145 0.83534354 0.84112463
 0.83549522 0.82927459 0.83305246 0.83164077 0.83301381 0.83626404
 0.84321805 0.84327516 0.85225663 0.85361002 0.85701659 0.85773382
 0.86059856 0.86608992 0.86331437 0.87439512 0.87494678 0.89067136
 0.89632265 0.90033542 0.90434226 0.90557841 0.91144492 0.91761013
 0.92115194 0.91983729 0.92391745 0.93064222 0.93207493 0.92327763
 0.923171   0.92373063 0.92421719 0.9336751  0.93223641 0.92588075
 0.92701868 0.93223411 0.93260781 0.93294936 0.93521336 0.93479196
 0.93524118 0.95190842 0.95555534 0.95391745 0.95566587 0.9579461
 0.95875829 0.9592575  0.95673001 0.95729134 0.96037267 0.95637175
 0.94306724 0.94392868 0.94387039 0.94255567 0.94822642 0.94834057
 0.94778472 0.94772982 0.94536709 0.94422585 0.94192659 0.94160471
 0.94164839 0.93717626 0.93688566 0.9426877  0.94280896 0.94292364
 0.94303822 0.94484338 0.94495537 0.94787882 0.94352561 0.94358373
 0.95164771 0.95169423 0.9517483  0.95598316 0.95603531]","[1.29151518 1.29219534 1.28705099 1.2708557  1.27311141 1.27143738
 1.27346298 1.27614185 1.275939  ]","[0.16066335 0.15501424 0.15117466 0.14929823 0.14870613 0.14933
 0.15106507 0.15424305 0.15849597]"
46,9TO9,1.0,2.4,10.0,"[0.65906237 0.66211868 0.66351439 0.65111845 0.65819781 0.66249115
 0.6686129  0.66711585 0.67908863 0.67784817 0.68718673 0.69140978
 0.70260089 0.70631136 0.72033845 0.72153031 0.71991524 0.73435233
 0.74053219 0.74671801 0.75983237 0.75244407 0.75593131 0.7646649
 0.76309586 0.78454734 0.78747936 0.80612384 0.81987661 0.8304508
 0.83277738 0.83291236 0.83646858 0.84960448 0.84875623 0.8582073
 0.86413044 0.86725958 0.86877196 0.87248848 0.87954046 0.88091791
 0.87717826 0.87739717 0.87495853 0.87866915 0.88828209 0.89177224
 0.89478759 0.88564632 0.89449811 0.90184935 0.90470508 0.91002505
 0.90900245 0.90779531 0.90614882 0.90707954 0.90693049 0.90822608
 0.91683045 0.92415878 0.92634069 0.92295406 0.92031526 0.93070617
 0.93157547 0.93247169 0.93234623 0.93598127 0.94122096 0.94283655
 0.94291049 0.94326491 0.94895902 0.95119143 0.94562815 0.94678423
 0.94920558 0.94522718 0.94562105 0.94557066 0.94629099 0.94624201
 0.95236273 0.95081258 0.95096391 0.95056121 0.94850915 0.94842629
 0.94826993 0.94828453 0.94541884 0.94542091 0.94904211 0.95165367
 0.94785176 0.94691296 0.94110982 0.94047614 0.94010811]","[1.31743651 1.3186386  1.32017787 1.31405773 1.30701249 1.30447837
 1.31794566 1.32431689 1.32767588]","[0.15993116 0.15452336 0.15164067 0.14962075 0.14905398 0.14936301
 0.15173712 0.15472683 0.15843361]"
47,5TO9,1.0,2.4,10.0,"[0.60872886 0.60724174 0.61408421 0.62617392 0.6455538  0.64975291
 0.66990482 0.68477499 0.69023686 0.70195528 0.72235043 0.73062623
 0.74925809 0.76529099 0.77771102 0.78693791 0.78716099 0.78780255
 0.79683947 0.80153059 0.80774087 0.81387805 0.8157384  0.8186728
 0.82253266 0.8238309  0.83115137 0.83894375 0.83956084 0.84869447
 0.84997591 0.85770056 0.85912627 0.86492422 0.87010737 0.87343236
 0.87172229 0.87948852 0.88174351 0.88735741 0.89144861 0.89212958
 0.89872788 0.89584577 0.89475468 0.89419384 0.89385161 0.90268403
 0.90790443 0.90832028 0.90778643 0.90904199 0.91539642 0.92039395
 0.91468548 0.91630809 0.91954951 0.92326164 0.92625419 0.93046738
 0.92878235 0.92889991 0.93435784 0.93608188 0.93787266 0.94128496
 0.94198387 0.94235345 0.94220261 0.94335069 0.94509758 0.9432566
 0.94381706 0.94558919 0.9449968  0.94526287 0.95023518 0.95038193
 0.94918266 0.95459073 0.95311404 0.95175727 0.95320941 0.95401538
 0.95559631 0.95580184 0.9549313  0.9515752  0.94954647 0.95115865
 0.95121561 0.95166171 0.94929512 0.9492661  0.94933517 0.94508386
 0.94844694 0.9485542  0.94663155 0.94863106 0.94945504]","[1.27994269 1.28115699 1.28510363 1.2890028  1.29006381 1.28788602
 1.29187516 1.29057318 1.29221372]","[0.16094685 0.15576894 0.15268384 0.15065893 0.14948231 0.15003955
 0.15153643 0.15480391 0.15911721]"
