,location,lat,lon,GHIs
214,USA_GA_Augusta-Bush-Field__722180_TMY,33.37,-81.97,"[180318, 179159, 177386, 162926, 130149, 836879]"
215,USA_CA_Burbank-Glendale-Passadena__Bob__Hope__AP__722880_TMY3,34.2,-118.35,"[206319, 233700, 235596, 223924, 160527, 1062445]"
216,USA_OK_Tulsa__Intl__AP__723560_TMY,36.2,-95.9,"[174051, 192264, 200446, 186322, 136473, 896695]"
217,USA_NE_Scottsbluff__725660_TMY2,41.87,-103.6,"[190935, 210656, 216378, 190581, 146949, 959489]"
218,USA_WA_Tacoma-McChord__AFB__742060_TMY3,47.15,-122.48,"[130124, 166370, 179394, 154556, 104744, 740775]"
219,USA_AK_Valdez-Pioneer__Field__702756_TMY3,61.13,-146.27,"[117523, 153160, 113895, 115532, 77276, 583623]"
220,USA_AR_Springdale__Muni__AP__723434_TMY3,36.18,-94.12,"[153606, 171422, 204677, 183465, 141913, 863058]"
221,USA_CO_Rifle-Garfield__County__Rgnl__AP__725717_TMY3,39.53,-107.72,"[197705, 229677, 198592, 185452, 159070, 979130]"
222,USA_ND_Bismarck__Muni__AP__727640_TMY,46.77,-100.75,"[173636, 192261, 213081, 184618, 124989, 896977]"
223,USA_NY_Rochester-Greater__Rochester__Intl__AP__725290_TMY3,43.12,-77.68,"[170660, 184148, 188909, 160434, 117687, 825549]"
224,USA_OR_Aurora__State__AP__726959_TMY3,45.25,-122.77,"[154811, 185423, 216073, 176320, 134573, 874704]"
225,USA_HI_Keahole-Kona__Intl__AP__911975_TMY3,19.73,-156.05,"[184617, 180046, 178163, 185057, 158982, 894220]"
226,USA_MA_Chicopee__Falls-Westover__AFB__744910_TMY3,42.2,-72.53,"[161113, 148337, 159421, 139480, 121510, 734882]"
227,USA_OK_Bartlesville-Phillips__Field__723565_TMY3,36.77,-96.02,"[176600, 201901, 160163, 126319, 127311, 800537]"
228,USA_AK_Yakutat__State__AP__703610_TMY3,59.52,-139.63,"[114601, 123995, 120605, 111436, 65631, 541389]"
229,USA_DE_Dover__AFB__724088_TMY3,39.13,-75.47,"[157706, 176161, 157995, 159155, 130898, 785197]"
230,USA_OR_Roseburg__Rgnl__AP__726904_TMY3,43.23,-123.35,"[167583, 197820, 213914, 194196, 124219, 905355]"
231,USA_KY_Louisville-Standiford__Field__724230_TMY,38.18,-85.73,"[162153, 178360, 175437, 165692, 131189, 816863]"
232,USA_NE_Falls__City-Brenner__Field__725533_TMY3,40.08,-95.6,"[183488, 189649, 167576, 159780, 142642, 851166]"
233,USA_MN_Ely__Muni__AP__727459_TMY3,47.82,-91.83,"[203325, 159681, 164907, 141990, 109349, 785316]"
234,USA_IA_Clinton__Muni__AWOS__725473_TMY3,41.83,-90.33,"[168019, 183338, 191173, 176161, 137018, 860801]"
235,USA_ME_Auburn-Lewiston__Muni__AP__726184_TMY3,44.05,-70.28,"[176917, 178486, 184548, 153515, 127585, 827906]"
236,USA_WY_Rawlins__Muni__AP__725745_TMY3,41.8,-107.2,"[206643, 222803, 230752, 195201, 152554, 1016589]"
237,USA_NC_Fort__Bragg-Simmons__AAF__746930_TMY3,35.13,-78.93,"[150452, 178271, 173241, 167181, 123765, 795313]"
238,USA_TX_San__Antonio-Stinson__AP__722523_TMY3,29.33,-98.47,"[137298, 176340, 223132, 189703, 138665, 872195]"
239,USA_WA_Spokane__727855_TMY2,47.63,-117.53,"[171506, 185393, 225700, 189116, 129390, 906544]"
240,USA_MA_Worcester__Rgnl__AP__725095_TMY3,42.27,-71.88,"[162927, 176082, 178480, 163154, 122032, 806308]"
241,USA_CA_South__Lake__Tahoe-Lake__Tahoe__AP__725847_TMY3,38.9,-120.0,"[220593, 253502, 243969, 231559, 180191, 1137895]"
242,USA_AR_Little__Rock-Adams__Field__723403_TMY3,34.75,-92.23,"[173371, 194912, 203629, 192077, 145432, 915720]"
243,USA_VA_Sterling-Washington__Dulles__Intl__AP__724030_TMY,38.95,-77.45,"[159830, 178940, 167813, 166234, 124195, 804455]"
244,USA_NY_Glens__Falls-Bennett__Mem__AP__725185_TMY3,43.35,-73.62,"[154302, 136516, 157100, 139271, 108474, 698841]"
245,USA_WY_Sheridan__County__AP__726660_TMY,44.77,-106.97,"[173934, 194960, 229681, 196231, 139959, 943081]"
246,USA_MI_Sault__Ste__Marie-Sanderson__Field__727340_TMY3,46.47,-84.35,"[169032, 185441, 186366, 150033, 104059, 802375]"
247,USA_MO_Kaiser-Lee__Fine__Mem__AWOS__724459_TMY3,38.1,-92.55,"[159016, 209024, 211987, 176144, 138803, 898540]"
248,USA_IL_Decatur__AP__725316_TMY3,39.83,-88.87,"[120850, 174128, 176315, 172891, 133094, 784072]"
249,USA_SC_North__Myrtle__Beach-Grand__Strand__Field__747915_TMY3,33.82,-78.72,"[193481, 179275, 191802, 178812, 131103, 881441]"
250,USA_OR_Lakeview__AWOS__725976_TMY3,42.17,-120.4,"[201036, 251220, 242668, 198548, 167324, 1069055]"
251,USA_OH_Zanesville__Muni__AP__724286_TMY3,39.95,-81.9,"[162073, 165934, 168429, 131437, 94820, 727176]"
252,USA_MT_Missoula__727730_TMY2,46.92,-114.08,"[161234, 192782, 224134, 184224, 132420, 902719]"
253,USA_FL_Marathon__AP__722016_TMY3,24.73,-81.05,"[203884, 167964, 200708, 147798, 137136, 864190]"
254,USA_WI_Rhinelander-Oneida__County__AP__727415_TMY3,45.63,-89.47,"[154791, 188262, 161847, 158564, 120907, 788203]"
255,USA_AK_Unalaska-Dutch__Harbor__Field__704890_TMY3,53.9,-166.55,"[85536, 102046, 109836, 98043, 54767, 452838]"
256,USA_MS_Gulfport-Biloxi__Intl__AP__747685_TMY3,30.4,-89.07,"[171053, 166092, 186449, 183563, 132567, 846884]"
257,USA_ID_Pocatello__Muni__AP__725780_TMY,42.92,-112.6,"[211080, 229193, 261166, 216334, 166314, 1092844]"
258,USA_CA_Blythe-Riverside__County__AP__747188_TMY3,33.62,-114.72,"[236967, 248649, 240290, 216723, 168809, 1119191]"
259,USA_MI_Detroit-Metro__AP__725370_TMY2,42.42,-83.02,"[171588, 184801, 182022, 165684, 127418, 839542]"
260,USA_NY_Watertown__AP__726227_TMY3,44.0,-76.02,"[131344, 176931, 157864, 155953, 109040, 738945]"
261,USA_CT_Oxford__AWOS__725029_TMY3,41.48,-73.13,"[166842, 147252, 207525, 166531, 105878, 799519]"
262,USA_SD_Sioux__Falls-Foss__Field__726510_TMY3,43.58,-96.75,"[170658, 194825, 204735, 169890, 131295, 878877]"
263,USA_FL_Tallahassee__722140_TMY2,30.38,-84.37,"[196786, 189458, 177755, 173351, 147924, 892269]"
264,USA_MN_Marshall__Muni-Ryan__Field__AWOS__726559_TMY3,44.45,-95.82,"[151043, 184814, 183589, 174064, 124825, 823122]"
265,USA_AZ_Tucson__Intl__AP__722740_TMY,32.12,-110.93,"[254094, 257167, 225529, 212966, 184848, 1143538]"
266,USA_OR_Eugene__726930_TMY2,44.12,-123.22,"[169215, 185895, 211427, 188665, 132435, 891209]"
267,USA_WA_Wenatchee-Pangborn__Mem__AP__727825_TMY3,47.4,-120.2,"[183860, 208434, 225504, 181494, 141383, 947501]"
268,USA_MN_Fosston__AWOS__727505_TMY3,47.58,-95.77,"[146721, 191300, 188577, 165513, 129497, 824326]"
269,USA_NV_Elko__Muni__AP__725825_TMY,40.83,-115.78,"[219970, 244641, 254698, 230750, 181850, 1136532]"
270,USA_AK_Skagway__AP__703620_TMY3,59.47,-135.3,"[154548, 123447, 156641, 104872, 64766, 611041]"
271,USA_CO_Craig__Moffat__AP__725700_TMY3,40.5,-107.53,"[208252, 224303, 230753, 177435, 156536, 1005019]"
272,USA_PA_Allentown-Lehigh__Valley__Intl__AP__725170_TMY3,40.65,-75.45,"[161290, 190504, 177288, 158751, 125104, 817430]"
273,USA_AR_Fort__Smith__Rgnl__AP__723440_TMY3,35.33,-94.37,"[181818, 201065, 208879, 188349, 148060, 935648]"
274,USA_SC_Columbia__Metro__AP__723100_TMY3,33.95,-81.12,"[180809, 192642, 189348, 168479, 142443, 879810]"
275,USA_CA_Yuba__County__AP__724838_TMY3,39.1,-121.57,"[223671, 247617, 243914, 219170, 167006, 1109654]"
276,USA_CA_Hayward__Air__Terminal__724935_TMY3,37.67,-122.12,"[215967, 231311, 213780, 207591, 165884, 1041298]"
277,USA_PA_Reading__Mem__AP-Spaatz__Field__725103_TMY3,40.37,-75.97,"[165750, 184470, 168056, 141903, 126443, 793030]"
278,USA_MN_Fergus__Falls__AWOS__726560_TMY3,46.28,-96.15,"[137543, 163705, 190922, 181077, 133572, 809528]"
279,USA_PA_Pittsburgh__Intl__AP__725200_TMY3,40.5,-80.23,"[155207, 177121, 187551, 165592, 120716, 808700]"
280,USA_ME_Millinocket__Muni__AP__726196_TMY3,45.65,-68.68,"[174439, 147610, 161337, 141929, 111717, 740968]"
281,USA_AK_St__Paul__Island__703080_TMY2,57.15,-170.22,"[119436, 121159, 114293, 89588, 65712, 514052]"
282,USA_MN_Aitkin__AWOS__727504_TMY3,46.55,-93.68,"[145690, 138101, 174042, 142953, 100255, 704623]"
283,USA_OH_Toledo__Express__AP__725360_TMY3,41.58,-83.8,"[178657, 184710, 192875, 167782, 130644, 862191]"
284,USA_KS_Russell__Muni__AP__724585_TMY3,38.88,-98.82,"[163633, 206102, 212980, 179927, 129628, 900121]"
285,USA_MT_Billings-Logan__Intl__AP__726770_TMY3,45.8,-108.55,"[178798, 199033, 217252, 185981, 140291, 928802]"
286,USA_MN_Duluth__727450_TMY2,46.83,-92.18,"[167660, 183492, 181229, 157887, 111402, 809064]"
287,USA_NM_Tucumcari__AP__723676_TMY3,35.18,-103.6,"[201219, 225332, 226853, 198667, 164638, 1019696]"
288,USA_CA_Modesto__Muni__AP__724926_TMY3,37.63,-120.95,"[225772, 246599, 240761, 221307, 165516, 1108089]"
289,USA_MI_Detroit-Willow__Run__AP__725376_TMY3,42.23,-83.53,"[175155, 182431, 199326, 154219, 132287, 845991]"
290,USA_CA_San__Francisco__Intl__AP__724940_TMY3,37.62,-122.4,"[190840, 214428, 221013, 198435, 163806, 996661]"
291,USA_MI_Lansing__725390_TMY2,42.78,-84.6,"[169465, 185710, 195807, 164645, 125702, 847861]"
292,USA_MN_Owatonna__AWOS__726568_TMY3,44.12,-93.25,"[170684, 174542, 193453, 177778, 120303, 844387]"
293,USA_WY_Cheyenne__Muni__AP__725640_TMY3,41.15,-104.8,"[171746, 208764, 207607, 183267, 142771, 919742]"
294,USA_CA_Long__Beach__722970_TMY2,33.82,-118.15,"[194001, 201869, 222547, 208383, 163993, 998132]"
295,USA_CA_Lancaster-Gen__Wm__Fox__Field__723816_TMY3,34.73,-118.22,"[239889, 252964, 240793, 232714, 182025, 1156827]"
296,USA_AK_Unalakleet__Field__702070_TMY3,63.88,-160.8,"[107027, 164453, 138515, 88974, 67227, 569137]"
297,USA_OH_Ohio__State__University__AP__724288_TMY3,40.07,-83.07,"[169759, 133417, 186217, 161660, 136931, 793980]"
298,USA_NV_Ely-Yelland__Field__724860_TMY,39.28,-114.85,"[211598, 236044, 243562, 216738, 178778, 1096243]"
299,USA_NM_Ruidoso-Sierra__Blanca__Rgnl__AP__722683_TMY3,33.47,-105.53,"[216760, 212142, 195052, 185885, 171027, 989716]"
300,USA_NJ_Newark__Intl__AP__725020_TMY3,40.72,-74.18,"[160741, 185844, 173844, 157328, 121867, 807390]"
301,USA_NV_Tonopah__724855_TMY2,38.07,-117.13,"[206166, 239730, 243716, 219184, 177888, 1094574]"
302,USA_MI_Traverse__City-Cherry__Capital__AP__726387_TMY3,44.73,-85.58,"[174831, 189143, 186699, 151205, 114478, 821327]"
303,USA_IL_Chicago-Midway__AP__725340_TMY3,41.78,-87.75,"[163577, 179548, 192079, 166574, 133515, 839510]"
304,USA_VA_Norfolk__NAS__723085_TMY3,36.95,-76.28,"[148733, 193167, 136555, 172015, 126749, 784224]"
305,USA_AK_Minchumina__702460_TMY3,63.88,-152.28,"[170535, 208549, 181014, 122535, 76976, 765659]"
306,USA_VA_Langley__AFB__745980_TMY3,37.08,-76.35,"[155520, 178941, 167103, 151744, 134060, 794849]"
307,USA_GA_Dekalb__Peachtree__AP__722196_TMY3,33.87,-84.3,"[141120, 178538, 152137, 161072, 112030, 748361]"
308,USA_OH_Cleveland__725240_TMY2,41.4,-81.85,"[172571, 185742, 186660, 165251, 125981, 842805]"
309,USA_CA_Stockton__Metro__AP__724920_TMY3,37.9,-121.23,"[224339, 241855, 241033, 220752, 163197, 1099368]"
310,USA_AZ_Yuma__Intl__AP__722800_TMY,32.66,-114.6,"[258521, 267211, 247248, 227500, 195812, 1205258]"
311,USA_CA_Oakland__Intl__AP__724930_TMY,37.71,-122.21,"[209507, 222136, 223506, 204029, 158875, 1024508]"
312,USA_AK_Saint__Marys__AWOS__702005_TMY3,62.07,-163.3,"[127934, 118577, 130386, 63629, 60962, 504552]"
313,USA_VA_Winchester__Rgnl__AP__724053_TMY3,39.15,-78.15,"[196427, 172593, 194117, 181361, 133666, 882625]"
314,USA_MN_St__Paul-Downtown__AP__726584_TMY3,44.93,-93.05,"[149157, 158646, 166870, 174487, 130053, 785828]"
315,USA_PA_Butler__County__AWOS__725124_TMY3,40.78,-79.95,"[153333, 196198, 197099, 167477, 120505, 839925]"
316,USA_AK_Summit__702640_TMY,63.33,-149.13,"[154322, 152831, 136122, 101559, 67507, 620555]"
317,USA_CA_Point__Mugu__NAS__723910_TMY,34.11,-119.11,"[198931, 192288, 215637, 185375, 151427, 947529]"
318,USA_HI_Kailua-Kaneohe__Bay__MCAS__911760_TMY3,21.45,-157.78,"[185294, 191048, 185320, 188740, 156139, 910366]"
319,USA_OR_Corvallis__Muni__AP__726945_TMY3,44.48,-123.28,"[164623, 192041, 221021, 181880, 141572, 908737]"
320,USA_FL_Fort__Walton__Beach-Hurlburt__Field__747770_TMY3,30.42,-86.68,"[208610, 190324, 199790, 183177, 154914, 944681]"
321,USA_MI_Grand__Rapids-Kent__County__Intl__AP__726350_TMY3,42.88,-85.52,"[177130, 192796, 188595, 163088, 124992, 852364]"
322,USA_FL_Panama__City-Bay__County__AP__722245_TMY3,30.2,-85.68,"[183431, 187492, 176119, 177048, 112623, 844030]"
323,USA_UT_Cedar__City__724755_TMY2,37.7,-113.1,"[212429, 239199, 228121, 203424, 166225, 1054318]"
324,USA_TX_Waco__Rgnl__AP__722560_TMY,31.62,-97.22,"[181604, 201352, 215631, 189415, 145431, 939492]"
325,USA_UT_Provo__Muni__AWOS__725724_TMY3,40.22,-111.72,"[205641, 225121, 236574, 202711, 157022, 1035828]"
326,USA_NY_Binghamton-Edwin__A__Link__Field__725150_TMY,42.22,-75.98,"[138823, 158337, 161276, 141685, 108718, 715639]"
327,USA_IN_Monroe__County__AP__724375_TMY3,39.13,-86.62,"[137674, 127738, 184709, 165746, 129252, 748893]"
328,USA_SC_Beaufort__MCAS__722085_TMY3,32.48,-80.72,"[167434, 167143, 192554, 161063, 129998, 824468]"
329,USA_CO_Golden-NREL__724666_TMY3,39.74,-105.18,"[181874, 187855, 191439, 182660, 147863, 899356]"
330,USA_IA_Le__Mars__Muni__AP__725484_TMY3,42.78,-96.2,"[177911, 156524, 191867, 181521, 138746, 853040]"
331,USA_WY_Cheyenne__Muni__AP__725640_TMY,41.15,-104.82,"[182951, 206445, 214599, 193108, 159504, 964588]"
332,USA_OR_Portland-Hillsboro__AP__726986_TMY3,45.53,-122.95,"[153852, 162392, 209803, 175628, 127992, 837167]"
333,USA_OR_Burns__Muni__AP__726830_TMY3,43.52,-119.02,"[195628, 229592, 239760, 185965, 147709, 1006683]"
334,USA_IN_Indianapolis__Intl__AP__724380_TMY3,39.72,-86.27,"[173993, 189912, 196113, 168252, 137122, 872971]"
335,USA_KS_Olathe-Johnson__County__Executive__AP__724468_TMY3,38.85,-94.73,"[179649, 193001, 209681, 182666, 135939, 908949]"
336,USA_NH_Berlin__Muni__AP__726160_TMY3,44.58,-71.18,"[150650, 138128, 147638, 143929, 117795, 702562]"
337,USA_KS_Garden__City__Muni__AP__724515_TMY3,37.93,-100.72,"[200020, 221266, 236328, 185744, 128022, 979192]"
338,USA_KS_Chanute-Martin__Johnson__AP__724507_TMY3,37.67,-95.48,"[138256, 198213, 222798, 193736, 143101, 900316]"
339,USA_AZ_Page__Muni__AWOS__723710_TMY3,36.93,-111.45,"[236324, 245761, 229816, 197493, 156450, 1073836]"
340,USA_AL_Birmingham__722280_TMY2,33.57,-86.75,"[177616, 187534, 185098, 175894, 146170, 878675]"
341,USA_MD_Patuxent__River__NAS__724040_TMY,38.3,-76.41,"[160759, 189906, 185456, 165655, 129833, 833692]"
342,USA_PA_Erie__Intl__AP__725260_TMY3,42.08,-80.18,"[169138, 192527, 191529, 159243, 119814, 840188]"
343,USA_MI_Alpena__County__Rgnl__AP__726390_TMY3,45.07,-83.58,"[173690, 193130, 189722, 157102, 110420, 831865]"
344,USA_CA_Santa__Monica__Muni__AP__722885_TMY3,34.02,-118.45,"[192365, 210045, 224938, 209943, 157098, 1002389]"
345,USA_TX_Brownsville-South__Padre__Island__AP__722500_TMY,25.9,-97.43,"[180171, 196564, 215004, 206797, 161384, 966549]"
346,USA_IA_Sheldon__Muni__AP__725495_TMY3,43.22,-95.83,"[125621, 168837, 186567, 172116, 120322, 776610]"
347,USA_WY_Sheridan__County__AP__726660_TMY3,44.77,-106.97,"[184316, 205154, 215996, 189851, 128359, 930022]"
348,USA_HI_Honolulu__Intl__AP__911820_TMY,21.35,-157.93,"[189012, 186349, 198073, 195240, 173774, 947406]"
349,USA_TX_Sherman-Perrin__AFB__722541_TMY,33.72,-96.67,"[179251, 199797, 201916, 188211, 156298, 932220]"
350,USA_KS_Wichita-Mid__Continent__AP__724500_TMY3,37.65,-97.43,"[183074, 203361, 217665, 183834, 153260, 947537]"
351,USA_SD_Huron__726540_TMY2,44.38,-98.22,"[178496, 192732, 209325, 182662, 132873, 899768]"
352,USA_ID_Soda__Springs-Tigert__AP__725868_TMY3,42.65,-111.58,"[194366, 215805, 232532, 205689, 126182, 982637]"
353,USA_HI_Barbers__Point__NAS__911780_TMY3,21.32,-158.07,"[181020, 193457, 190812, 198399, 162242, 930364]"
354,USA_GA_Brunswick-Golden__Isles__AP__722136_TMY3,31.25,-81.47,"[147458, 182018, 187024, 174091, 137446, 831166]"
355,USA_VA_Staunton-Shenandoah__Valley__Rgnl__AP__724105_TMY3,38.27,-78.9,"[198420, 194596, 182230, 169909, 121045, 870451]"
356,USA_OH_Toledo__725360_TMY2,41.6,-83.8,"[178657, 186072, 194127, 172828, 129891, 869098]"
357,USA_NE_Broken__Bow__Muni__AP__725555_TMY3,41.43,-99.65,"[187944, 172980, 202004, 184124, 120941, 873078]"
358,USA_GA_Alma-Bacon__County__AP__722135_TMY3,31.53,-82.5,"[205424, 167770, 187129, 164867, 144929, 877755]"
359,USA_MS_Biloxi-Keesler__AFB__747686_TMY3,30.42,-88.92,"[201666, 176868, 183582, 176675, 157577, 903838]"
360,USA_UT_Saint__George__AWOS__724754_TMY3,37.08,-113.6,"[243760, 254586, 232278, 214075, 191189, 1142889]"
361,USA_WV_Parkersburg-Wood__County-Gill__Robb__Wilson__AP__724273_TMY3,39.35,-81.43,"[129940, 153344, 164367, 150844, 130969, 736126]"
362,USA_CA_Los__Angeles__722950_TMY2,33.93,-118.4,"[196941, 203506, 217088, 205028, 154362, 983521]"
363,USA_VA_Pulaski-New__River__Valley__AP__724116_TMY3,37.13,-80.68,"[174902, 156463, 179043, 160168, 115712, 790923]"
364,USA_MN_Mora__Muni__AWOS__727475_TMY3,45.88,-93.27,"[146358, 175372, 205217, 168986, 119643, 819068]"
365,USA_VA_Marion-Wytheville-Mountain__Empire__AP__724056_TMY3,36.9,-81.35,"[189885, 179514, 176952, 158789, 112981, 825866]"
366,USA_FL_Key__West__722010_TMY2,24.55,-81.75,"[187479, 185005, 189558, 180001, 154709, 903827]"
367,USA_MS_Jackson__Intl__AP__722350_TMY,32.32,-90.08,"[185465, 181768, 181820, 176105, 145280, 875393]"
368,USA_MI_Detroit-City__AP__725375_TMY3,42.4,-83.0,"[150067, 179181, 183346, 146111, 127160, 793394]"
369,USA_CA_Palmdale__AP__723820_TMY3,34.63,-118.08,"[239282, 254337, 248794, 228786, 181165, 1160731]"
370,USA_IL_Waukegan__Rgnl__AP__725347_TMY3,42.42,-87.87,"[160372, 164650, 141969, 117998, 118549, 707921]"
371,USA_MI_Detroit-City__AP__725375_TMY,42.5,-83.0,"[166881, 179520, 184899, 151669, 122703, 808124]"
372,USA_AK_Birchwood__702746_TMY3,61.42,-149.52,"[164542, 163394, 171827, 120561, 77578, 701065]"
373,USA_KS_Topeka-Forbes__AFB__724565_TMY3,38.95,-95.67,"[188188, 198777, 170866, 174137, 138593, 871887]"
374,USA_ME_Sanford__Muni__AWOS__726064_TMY3,43.4,-70.72,"[148289, 176576, 188294, 158286, 120816, 799765]"
375,USA_TX_Mineral__Wells__Muni__AP__722597_TMY3,32.78,-98.07,"[156989, 174285, 215322, 195810, 148231, 894715]"
376,USA_NC_Wilmington__Intl__AP__723013_TMY3,34.27,-77.9,"[180452, 186847, 188147, 164361, 133059, 859723]"
377,USA_VA_Lynchburg__Rgnl__AP-Preston__Glen__Field__724100_TMY3,37.33,-79.2,"[178512, 202367, 194538, 171382, 139659, 893772]"
378,USA_WA_Hanford__727840_TMY3,46.57,-119.6,"[195885, 204918, 230915, 202992, 151313, 990097]"
379,USA_KY_Paducah-Barkley__Rgnl__AP__724350_TMY3,37.05,-88.77,"[160738, 184912, 203166, 180801, 144091, 881119]"
380,USA_CO_Pueblo__Mem__AP__724640_TMY3,38.28,-104.5,"[210925, 223088, 228614, 203367, 168251, 1041004]"
381,USA_AK_Big__River__Lake__702986_TMY3,60.82,-152.3,"[137824, 164890, 147584, 135292, 71109, 661592]"
382,USA_SC_Shaw__AFB__747900_TMY3,33.97,-80.47,"[180162, 186881, 185729, 181774, 136513, 878029]"
383,USA_MI_Pellston-Emmet__County__AP__727347_TMY3,45.57,-84.78,"[177756, 169694, 201847, 170886, 132190, 856851]"
384,USA_WI_Lone__Rock__AP__726416_TMY3,43.2,-90.18,"[160362, 150743, 196349, 147395, 120987, 778640]"
385,USA_IA_Shenandoah__Muni__AP__725467_TMY3,40.75,-95.42,"[174399, 163276, 173460, 164128, 129582, 811944]"
386,USA_MT_Glasgow__727680_TMY2,48.22,-106.62,"[179303, 192387, 209392, 176792, 121390, 882629]"
387,USA_MI_Muskegon__726360_TMY2,43.17,-86.25,"[186033, 201178, 195556, 168222, 123645, 880874]"
388,USA_MN_Faribault__Muni__AWOS__726563_TMY3,44.33,-93.32,"[153184, 190975, 185933, 169023, 121625, 826613]"
389,USA_AL_Montgomery-Dannelly__Field__722260_TMY,32.3,-86.4,"[176613, 186258, 183372, 168503, 145178, 867442]"
390,USA_TX_Corpus__Christi__NAS__722515_TMY3,27.68,-97.28,"[185025, 194865, 200816, 167087, 139979, 895305]"
391,USA_MN_South__St__Paul__Muni__AP__726603_TMY3,44.85,-93.15,"[151282, 193448, 194219, 181776, 136994, 863003]"
392,USA_ID_Malad__City__AP__725786_TMY3,42.15,-112.28,"[206328, 220190, 232896, 214899, 153394, 1035586]"
393,USA_HI_Molokai__AWOS__911860_TMY3,21.15,-157.1,"[184639, 206356, 191736, 185573, 151201, 927122]"
394,USA_ID_Mountain__Home__AFB__726815_TMY3,43.05,-115.87,"[205036, 226255, 248138, 206268, 156750, 1050864]"
395,USA_IL_University__of__Illinois-Willard__AP__725315_TMY3,40.06,-88.37,"[148151, 179846, 201247, 160641, 131976, 826537]"
396,USA_WV_Elkins-Randolph__County__AP__724170_TMY3,38.88,-79.85,"[159639, 171814, 168387, 155925, 121649, 784137]"
397,USA_AK_Adak__NAS__704540_TMY3,51.88,-176.65,"[109629, 115696, 74649, 73724, 80801, 458141]"
398,USA_SD_Yankton-Chan__Gurney__Muni__AP__726525_TMY3,42.92,-97.38,"[173486, 176219, 213407, 196812, 145394, 911668]"
399,USA_WY_Green__River-Greater__Green__River__Intergalactic__Spaceport__725744_TMY3,41.46,-109.44,"[191638, 224369, 223315, 202060, 158039, 1008356]"
400,USA_MS_Meridian__722340_TMY2,32.33,-88.75,"[180461, 185567, 190594, 171031, 140301, 872628]"
401,USA_MT_Kalispell__727790_TMY2,48.3,-114.27,"[167353, 191961, 206888, 180416, 121129, 875230]"
402,USA_CA_Point__Mugu__NAS__723910_TMY3,34.12,-119.12,"[192896, 209273, 217686, 196793, 161098, 979725]"
403,USA_NJ_Millville__Muni__AP__724075_TMY3,39.37,-75.08,"[188148, 164169, 179291, 142991, 125338, 801501]"
404,USA_MT_Great__Falls__Intl__AP__727750_TMY3,47.47,-111.38,"[165294, 200136, 213446, 180511, 125827, 893221]"
405,USA_MN_Glenwood__AWOS__726547_TMY3,45.65,-95.32,"[164617, 187583, 189023, 187272, 138849, 875641]"
406,USA_ID_Hailey-Sun__Valley__AP__725865_TMY3,43.5,-114.3,"[213350, 223668, 243872, 207811, 158475, 1054957]"
407,USA_OH_Dayton__745700_TMY2,39.9,-84.22,"[167190, 184222, 182631, 172700, 129433, 844496]"
408,USA_OK_Hobart__Muni__AP__723525_TMY3,35.0,-99.05,"[190524, 226632, 236145, 212320, 159413, 1032514]"
409,USA_FL_Key__West__Intl__AP__722010_TMY3,24.55,-81.75,"[196395, 189630, 190951, 182400, 153642, 919957]"
410,USA_TX_Nacogdoches__AWOS__722499_TMY3,31.58,-94.72,"[182888, 213097, 219806, 202348, 143346, 969202]"
411,USA_FL_NASA__Shuttle__Landing__Facility__747946_TMY3,28.62,-80.72,"[207313, 142532, 198268, 181544, 137414, 874818]"
412,USA_NY_Albany__County__AP__725180_TMY,42.75,-73.8,"[174599, 183303, 188488, 164857, 115732, 835184]"
413,USA_IA_Oelwein__Muni__AP__725488_TMY3,42.68,-91.97,"[156515, 162850, 173750, 155953, 128914, 783091]"
414,USA_AK_Kenai__Muni__AP__702590_TMY3,60.58,-151.23,"[142741, 164068, 141082, 127391, 98362, 680151]"
415,USA_TX_Fort__Worth-Alliance__AP__722594_TMY3,32.98,-97.32,"[197221, 165312, 210707, 178391, 137911, 897557]"
416,USA_WI_Eau__Claire__County__AP__726435_TMY,44.87,-91.48,"[161059, 187805, 182542, 155521, 113608, 806309]"
417,USA_NJ_Newark__Intl__AP__725020_TMY,40.7,-74.17,"[168142, 172710, 172890, 152456, 122949, 796902]"
418,USA_SC_Charleston__Intl__AP__722080_TMY,32.9,-80.03,"[174792, 168231, 169786, 155708, 133261, 809421]"
419,USA_ID_Boise__726810_TMY2,43.57,-116.22,"[192012, 216900, 237297, 205379, 153228, 1012345]"
420,USA_NY_New__York-LaGuardia__AP__725030_TMY3,40.78,-73.88,"[172872, 174971, 176213, 174381, 128183, 834269]"
421,USA_MO_St__Joseph-Rosecrans__Mem__AP__724490_TMY3,39.77,-94.9,"[179276, 186435, 171122, 177659, 132982, 849041]"
422,USA_PA_Williamsport__Rgnl__AP__725140_TMY3,41.25,-76.92,"[162448, 180640, 174137, 156841, 117330, 798817]"
423,USA_FL_Mayport__NS__722066_TMY3,30.4,-81.42,"[191596, 158503, 197468, 158850, 134017, 847695]"
424,USA_SD_Sioux__Falls__726510_TMY2,43.57,-96.73,"[178160, 198622, 209378, 176875, 133000, 899737]"
425,USA_MN_Eveleth__Muni__AWOS__727474_TMY3,47.4,-92.5,"[176174, 144158, 171999, 167298, 92008, 759735]"
426,USA_NM_Clayton__Muni__AP__723600_TMY,36.45,-103.15,"[212467, 217263, 227042, 206006, 168328, 1039933]"
427,USA_LA_Shreveport__Downtown__722484_TMY3,32.53,-93.75,"[186658, 181854, 195961, 202961, 160036, 931298]"
